valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment
0.512,0.4629999999999999,0.41,0.33,0.374,0
0.5075,0.403,0.42,0.333,0.376,0
0.4669999999999999,0.5275000000000001,0.363,0.271,0.3625,0
0.4881428571428571,0.4517142857142857,0.3525714285714286,0.3537142857142857,0.4648571428571429,0
0.485,0.384,0.419,0.36,0.455,0
0.482,0.326,0.427,0.331,0.373,0
0.504,0.46,0.518,0.312,0.434,0
0.5,0.306,0.33,0.303,0.327,0
0.491,0.381,0.4039999999999999,0.353,0.3389999999999999,0
0.4755,0.3685,0.4695,0.294,0.4,0
0.4906666666666666,0.4096666666666667,0.4053333333333334,0.312,0.3960000000000001,0
0.4701428571428572,0.4714285714285714,0.4022857142857143,0.2702857142857143,0.39,0
0.4493333333333333,0.4026666666666667,0.4663333333333333,0.2993333333333333,0.4026666666666667,0
0.483,0.441,0.4145,0.3205,0.3819999999999999,0
0.505,0.437,0.406,0.3229999999999999,0.377,0
0.486,0.451,0.379,0.255,0.33,0
0.491,0.4399999999999999,0.4004999999999999,0.336,0.4054999999999999,0
0.4896666666666666,0.4473333333333333,0.403,0.286,0.3673333333333333,0
0.475,0.423,0.4455,0.2764999999999999,0.4085,0
0.4835,0.4265,0.44,0.2995,0.4385,0
0.475,0.4135,0.4535,0.273,0.4115,0
0.4605,0.4355,0.4175,0.303,0.4107499999999999,0
0.4685,0.4645,0.4505,0.3315,0.4034999999999999,0
0.51,0.3345,0.3804999999999999,0.3555,0.38,0
0.518,0.302,0.316,0.344,0.305,0
0.5,0.4205,0.39625,0.33175,0.3477499999999999,0
0.495,0.374,0.437,0.341,0.395,0
0.476,0.4589999999999999,0.3963333333333333,0.3323333333333333,0.407,0
0.496,0.4695,0.409,0.2935,0.383,0
0.4895,0.4905,0.3974999999999999,0.319,0.3905,0
0.5255000000000001,0.3954999999999999,0.44675,0.32825,0.35075,0
0.438,0.4044999999999999,0.3974999999999999,0.2545,0.405,0
0.498,0.564,0.346,0.331,0.414,0
